ZIP_CODE,RENT_INDEX,MEDIAN_RENT
10282,26.146433710067878,6300.0
11354,84.442499471255104,2250.0
11355,84.476838647523493,2162.5
11367,74.185143433596068,2000.0
11368,72.031090244541829,2215.0
11370,76.62911306957507,2200.0
11372,79.512401882361374,2200.0
11373,81.608856286872793,2100.0
11374,81.930675828867962,2325.0
11375,79.502062967661359,2500.0
11377,83.354039235413865,2200.0
11385,82.353196363410049,2275.0
11415,75.525310326456591,2300.0
11432,67.164786080239523,1999.5
11435,76.327535304529576,1975.0
10453,86.805087756597572,1650.0
10456,91.359932712691545,1562.5
10457,89.266531978693592,1575.0
10458,91.01750363190169,1600.0
10461,83.807764805130219,1700.0
10462,90.191088610537832,1750.0
10463,77.765102297267788,2122.5
10467,90.793271558874721,1650.0
10468,91.060726820096406,1600.0
10471,68.935563843651508,2100.0
10473,89.224243206110373,1650.0
10001,35.322355484806259,5000.0
10002,67.015776854000222,3300.0
10003,59.583519726126298,3995.0
10004,35.066308202266015,5560.0
10005,33.619426814947296,5547.5
10006,38.023581056319102,4895.0
10007,25.51982128495311,6295.0
10009,55.13125127696496,3390.0
10010,53.236734366110966,4350.0
10012,54.805071488980765,4000.0
10013,37.854682338784777,5025.0
10014,52.666655084682489,4000.0
10016,49.503504861861913,4462.5
10017,43.798201710289305,4200.0
10018,30.741397317502205,4695.0
10019,39.867813648073245,4997.5
10021,41.205326936585443,4450.0
10022,42.965468597740823,4450.0
10023,39.137770033853513,4987.5
10024,51.431976354515974,4295.0
10025,64.140749999968278,3500.0
10026,74.585326926634693,2795.0
10027,78.107688518390901,2650.0
10028,70.739745565921368,2995.0
10030,84.832324973601942,2250.0
10031,85.179103501622365,2100.0
10032,88.396447987181887,2000.0
10033,82.327942735447579,2200.0
10035,64.898320985028064,2550.0
10036,52.399032156921521,4000.0
10038,45.226832610757867,4762.5
10040,84.072410074213565,1850.0
10075,52.348650298529726,3300.0
11101,53.217511678632896,3574.5
11102,71.716296023893747,2500.0
11103,75.769125182007897,2300.0
11104,76.399355883936082,2600.0
11105,75.220202374036802,2400.0
11106,67.565855333642304,2400.0
11109,57.067253274192488,4000.0
10128,61.376169872559046,3395.0
11201,54.993544766466883,4325.0
11203,80.505765301215263,1922.5
11204,88.536010917025962,1750.0
11205,69.678096747665222,2995.5
11206,73.286502990546268,2699.0
11207,83.518104962655514,2050.0
11209,83.681134314904426,2200.0
11210,76.18286380821776,1850.0
11211,63.111880706083326,3298.0
11212,90.995062158577213,1650.0
11213,80.347372193608663,2200.0
11214,90.887045825021005,1800.0
11215,70.862369528640372,2995.0
11216,77.004866381365275,2500.0
11217,68.024186478787882,3350.0
11218,79.443125819668523,2200.0
11220,87.933657688645312,2000.0
11221,80.293913986279875,2300.0
11222,69.515897062280771,2985.0
11223,85.565861256351951,1900.0
11225,77.882315834078952,2500.0
11226,85.707256895530094,2065.0
11228,83.790751927532654,2000.0
11229,87.539018824783838,1875.0
11230,87.454181603560954,2000.0
11231,58.870853908370911,3000.0
11232,82.75414122726248,2200.0
11233,84.653607795497308,2100.0
11234,84.739298831672002,1800.0
11235,84.235136205271274,2100.0
11236,84.233656728671832,1750.0
11237,75.028322027240151,2400.0
11238,69.525733717022817,2799.0
11249,51.489850444064665,3750.0
