ZIP_CODE,RENT_INDEX,MEDIAN_RENT
11105,78.275479298738787,3000.0
11228,81.715866707732957,2325.0
11231,64.618603504994482,4200.0
11357,90.150694425370489,2300.0
10128,63.894539250753326,4447.5
10002,71.613349757202741,4500.0
10003,68.788474458335642,5075.0
10009,58.609227938530353,4350.0
10010,71.450490772543759,4541.5
10011,62.4451484461718,5475.0
10012,59.447351043509457,5425.0
11226,91.285677382285741,2500.0
10014,56.482653960782201,6400.0
10016,45.622092030751929,5995.0
10019,50.609576704681118,4995.0
10021,47.127163771495511,6000.0
10023,28.463411588411599,7172.5
10024,34.540689179663701,7800.0
10025,59.351215664358506,4600.0
10027,77.613511150391517,3300.0
10028,45.639931311638513,5497.5
10029,71.142611196044655,3495.0
10031,87.418611170405725,2997.5
10032,92.383019061749465,2500.0
10033,83.056061886628115,2756.0
10036,54.768687385708034,4995.0
11102,77.158941641764471,3200.0
11103,84.494893125601465,3000.0
11365,80.701760698091149,2400.0
11201,56.918349218619227,4700.0
11203,85.583552473484303,2200.0
11232,75.409463240849945,2774.5
11205,79.990387584678302,3400.0
11206,83.477517054088892,3289.0
11207,90.471155390013323,2600.0
11208,81.396969265495642,2000.0
11209,90.745641289637433,2500.0
11210,84.871460116536781,2200.0
11211,79.055324775728877,3850.0
11213,82.711440146292531,2650.0
11214,92.902090932581558,2200.0
11215,64.859640405822603,3800.0
11216,86.383955001688889,2998.0
10065,33.174253526858337,8500.0
11218,86.292739866508924,2800.0
11219,74.795631717016988,2200.0
11220,89.707387849302492,2500.0
11221,91.238872260863772,2702.0
11222,75.131565084710303,3500.0
11223,82.198363237115856,2200.0
11225,88.518706289992565,2900.0
10458,90.230538847314961,1900.0
11355,85.960541131123989,2500.0
11106,75.984974207702734,3000.0
11229,76.649038420995268,2349.5
11230,77.849961370536306,2295.0
10463,73.363016975363919,2600.0
11360,89.245200235108001,2325.0
11233,92.473042519947853,2500.0
11234,88.656386368598007,2300.0
11235,73.331581301558174,2450.0
11236,90.93493635474897,2200.0
11237,87.49065586445623,3000.0
11238,77.204989001963682,3400.0
11217,59.094103623331826,4000.0
11101,65.544688841118941,3847.5
11373,85.849657600261864,2600.0
11374,79.23267745334114,2950.0
11375,74.132014834172452,3200.0
11377,86.302656246686837,2550.0
11385,87.108534863421966,2750.0
