ZIP_CODE,RENT_INDEX,MEDIAN_RENT
10128,70.324669308101207,1899.0
10001,38.867566905519091,2825.0
10002,52.590486058544514,2150.0
10003,49.391755462785802,2550.0
10005,43.216478055325524,2870.0
10006,43.731992472216298,2765.0
11415,84.354558686802761,1500.0
10009,62.44769161611832,2100.0
10010,50.248544972663417,2600.0
10011,50.147703982873935,2550.0
10012,46.59921156559129,2595.0
10458,89.690605865666043,1262.5
10014,41.963160002587003,2850.0
10016,58.909710367935368,2400.0
10017,56.954615332148677,2300.0
10018,37.564879831877761,2755.0
10019,46.455561649295632,2700.0
10021,71.092373389329239,1950.0
10022,54.848979956476192,2300.0
10023,57.407811880744731,2395.0
10024,61.455180252530155,2200.0
10025,55.500976564148985,2350.0
10028,73.013811383468919,1995.0
10029,34.760776375642202,2850.0
10013,26.310370841043749,2995.0
10032,85.103044445858671,1372.5
10035,62.97312670684839,1700.0
10036,42.890772149006267,2595.0
10038,41.898379817759775,2800.0
11249,38.704376818918405,2578.0
11201,54.297433597606485,2500.0
11205,49.315264043568931,2150.0
11209,85.922167294587666,1400.0
11211,41.039746640031524,2599.5
11215,49.8713588711203,2000.0
11216,69.151284413219386,1800.0
10065,50.115606610316462,2420.0
11221,51.514749145813155,1875.0
11222,38.764865007288194,2199.0
11226,82.050791495222313,1550.0
11355,90.295798102087687,1300.0
11101,59.435090123152463,2275.0
11102,45.049660741150106,1775.0
11231,46.02539024761812,2310.0
11104,83.352042660418846,1600.0
11233,60.743384337657375,1737.5
11106,65.489844529482141,1750.0
11235,84.659064828241043,1425.0
11109,53.784465619300803,2395.0
11238,71.623118784577628,1900.0
10075,75.498847472078921,1895.0
11372,86.056933053382267,1550.0
11373,83.358849340700687,1600.0
11374,83.805777763904672,1575.0
11375,82.836245516655111,1587.5
11432,85.400281644634106,1400.0
10069,34.169014369666243,2870.0
