RegionName,City,State,Metro,CountyName,SizeRank,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
11221,New York,NY,New York,Kings,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3050,3050,3147.5,3100,3100,3100,3199,3100,3149,3200,3180,3199,3100,3000,3150,3200,3200,3200,3200,3300,3350,3399,3450,3450,3373,3300,3266,3200,3299,3300,3400,3400,3400,3400,3400
11385,New York,NY,New York,Queens,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3300,3375,3400,3395,3300,3300,3400,3399.5,3400.5,3300,3400,3500,3500,3500,3595,3497,3400,3400,3500
91709,Chino Hills,CA,Riverside,San Bernardino,22,,,,,,,,,,,,,,,2200,2325,2162.5,2349.5,2350,2397.5,2425,2300,2350,2350,2325,2350,2400,2500,2497.5,2500,2450,2400,2425,2500,2400,2350,2350,2450,2400,2400,2400,2400,2350,2400,2497.5,2500,2495,2450,2495,2450,2400,2500,2500,2495,2500,2450,2525,2599.5,2650,2500,2600,2550,2500,2500,2600,2650,2700,2600,2600,2600
33647,Tampa,FL,Tampa,Hillsborough,23,,,1850,1750,1885,2000,1950,1850,1800,1800,1797.5,1725,1800,1750,1850,1850,1872.5,1800,1850,1850,1850,1897.5,1800,1800,1800,1750,1800,1850,1897.5,1925,1999,2100,2000,1995,1970,2000,1995,1895,1850,1850,1850,1895,1900,1900,1850,1895,1850,1840,1900,1865,1875,1895,1900,1925,2000,1965,1930,1945,1910,1900,1850,1900,1900,1905,1940,1995,1995,1995,1975,1995
77450,Cinco Ranch,TX,Houston,Fort Bend,24,,,,,,,,,,,,,,,,,2325,2350,2300,2425,2100,2100,1850,1895,2100,2225,2100,1947.5,2200,2200,2200,2275,2275,2300,2200,2400,2350,2025,2099.5,2000,2000,2200,2300,2250,2272.5,2200,2100,2100,1950,1995,1995,2100,2225,2250,2300,2300,2200,2200,2150,2197.5,2100,2097.5,2050,2200,2200,2500,2295,2100,1972.5,1995
77095,Cypress,TX,Houston,Harris,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.5,1729,1700,1700,1700,1749.5,1750,1750,1825,1809,1799.5,1800,1800,1800,1800,1750,1800,1787.5,1795,1795,1799.5,1837.5,1800,1795,1797,1800,1800,1825,1825,1775,1785,1795,1750,1849.5
92592,Temecula,CA,Riverside,Riverside,26,,,,2100,2100,2099.5,2000,1997.5,1975,1950,2050,1897,1972.5,2100,1950,1967.5,1925,1995,1995,1995,2025,1995,2100,2050,2050,1999.5,1950,1950,2000,2050,2050,2000,2100,2000,2000,2000,2090,2095,2095,2025,2050,2100,2095,2100,2100,2099,2100,1995,2095,2095,2025,2050,2100,2100,2095,2050,2100,2150,2100,2095,2150,2150,2195,2195,2150,2200,2199,2195,2100,2200
32244,Jacksonville,FL,Jacksonville,Duval,27,,,,,,,,,,,,,,,,,,,,,,1150,1150,1150,1140,1150,1150,1095,1100,1200,1162.5,1197.5,1200,1185,1195,1162.5,1200,1245,1212.5,1225,1238,1225,1195,1250,1195,1195,1150,1150,1149,1149.5,1175,1195,1250,1250,1195,1197.5,1200,1212.5,1195,1195,1200,1175,1195,1210,1250,1250,1250,1272.5,1250,1237.5
76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,28,,,,,,,,1495,1650,1662.5,1595,1694.5,1600,1600,1650,1650,1650,1600,1500,1600,1612.5,1620,1650,1600,1562.5,1562.5,1650,1612.5,1625,1637.5,1650,1628,1620,1650,1710,1695,1695,1695,1695,1675,1675,1700,1750,1700,1695,1675,1675,1725,1695,1600,1650,1725,1700,1785,1742.5,1712.5,1742.5,1795,1745,1795,1859,1795,1750,1750,1795,1745,1795,1800,1750,1750
92336,Fontana,CA,Riverside,San Bernardino,29,,,,,,,2200,2100,2150,2100,2095,2000,1999.5,2000,1999.5,2000,1950,2000,2000,2100,2000,1950,2000,2097.5,2095,2095,2095,2100,2100,2100,2050,2095,2087.5,2097.5,2070,2000,2072.5,2097.5,2100,2100,2100,2150,2150,2199.5,2200,2200,2150,2100,2100,2125,2195,2195,2195,2197.5,2250,2250,2195,2200,2200,2200,2200,2231,2222.5,2250,2250,2300,2287.5,2345,2200,2300
11238,New York,NY,New York,Kings,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4150,3999,4000,3995,3995,3900,3800,3800,3900,3895,3795,3900,4000,3800,3800,3800,3800,3900,3997,4218,4500,5000,4500,4400,4300,4225,4100,4500,4500,4500,4495,4000,4000,4000,4000,4000,3895,4000
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,31,,,2050,2095,2100,2200,2200,2200,2150,2150,2150,2150,2200,2200,2100,2095,2095,2100,2100,2100,2100,2250,2200,2200,2300,2300,2200,2250,2100,2200,2350,2400,2300,2300,2300,2300,2200,2270,2250,2300,2300,2300,2300,2300,2250,2300,2350,2325,2300,2300,2300,2300,2300,2250,2250,2397.5,2225,2350,2372.5,2332.5,2400,2400,2400,2400,2400,2450,2550,2400,2425,2412.5
11233,New York,NY,New York,Kings,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2600,2600,2600,2697.5,2600,2600,2674.5,2700,2700,2800,2875,2899,2837.5,2800,2700,2700,2699,2700,2700,2700,2699.5,2987.5,2850,2800,3000,2850,2850,2800,2800,2800,2800,2679,3000,3000,2972.5
77459,Missouri City,TX,Houston,Fort Bend,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.5,1950,1950,1995,2100,2137.5,2125,2100,2174,2099.5,2065,2000,2000,2100,2100,2150,2150,2097.5,2200,2200,2175,2100,2072.5,2000,2050,2000,2000,2097.5,1950,2000,1975,1975,2000
2155,Medford,MA,Boston,Middlesex,34,,,,,,,,,,,,,,,,,,,,,,,,,2700,2600,2800,2700,2800,2800,2600,2600,2600,2500,2550,2400,2400,2600,2300,2500,2650,2750,2800,2800,2700,2800,2700,2600,2500,2600,2750,2750,2800,2925,3000,2900,2800,2800,2800,2800,2800,3000,3000,2950,3000,3150,3200,3000,2800,2600
33027,Miramar,FL,Miami-Fort Lauderdale,Broward,35,2250,2350,2400,2400,2450,2500,2495,2497.5,2450,2450,2500,2500,2400,2400,2387.5,2400,2450,2450,2500,2500,2500,2500,2500,2500,2500,2400,2400,2450,2500,2500,2495,2400,2400,2500,2472.5,2500,2450,2500,2500,2500,2500,2595,2600,2600,2562.5,2500,2500,2550,2495,2500,2600,2675,2700,2700,2650,2599,2650,2700,2650,2650,2700,2700,2700,2700,2587.5,2500,2500,2500,2600,2600
30040,Cumming,GA,Atlanta,Forsyth,36,,,,,,,,,,,,,,,,,1650,1750,1720,1637.5,1650,1525,1710,1710,1650,1600,1672.5,1725,1700,1550,1650,1695,1697.5,1700,1675,1695,1672.5,1672.5,1695,1662.5,1650,1695,1597.5,1625,1695,1697.5,1695,1695,1750,1697.5,1700,1772.5,1800,1735,1800,1790,1775,1710,1700,1697,1695,1695,1695,1689,1650,1800,1779.5,1797.5,1795,1695
79938,El Paso,TX,El Paso,El Paso,37,,,,,,,,,,,,,,,,,1370,1370,1350,1325,1272.5,1295,1340,1325,1297.5,1295,1245,1275,1262.5,1250,1250,1250,1250,1250,1250,1295,1297.5,1250,1222.5,1200,1245,1262.5,1272.5,1295,1250,1250,1250,1247.5,1250,1200,1200,1250,1250,1250,1250,1250,1250,1250,1250,1200,1200,1200,1250,1250,1250,1237,1225,1250,1167.5,1200
77845,College Station,TX,College Station,Brazos,38,,,,,,,,,,,,,,,1590,1600,1600,1595,1590,1500,1495,1400,1400,1495,1497.5,1495,1625,1600,1595,1640,1597.5,1592.5,1500,1500,1500,1600,1595,1600,1600,1650,1600,1600,1625,1600,1672.5,1647.5,1797.5,1695,1700,1700,1700,1695,1700,1772.5,1800,1850,1697.5,1662.5,1650,1740,1900,2000,1900,1885,1700,1800,2000,1800,1600,1685
